Datum;Uhrzeit;Deutschland/Luxemburg[Euro/MWh];Dänemark 1[Euro/MWh];Dänemark 2[Euro/MWh];Frankreich[Euro/MWh];Italien (Nord)[Euro/MWh];Niederlande[Euro/MWh];Polen[Euro/MWh];Schweden 4[Euro/MWh];Schweiz[Euro/MWh];Slowenien[Euro/MWh];Tschechien[Euro/MWh];Ungarn[Euro/MWh];Österreich[Euro/MWh];Deutschland/Österreich/Luxemburg[Euro/MWh]
24.06.2019;01:00;25,68;25,68;25,68;25,68;-;25,68;-;25,07;23,25;25,68;25,34;25,34;25,68;-
24.06.2019;02:00;24;24;24;24;-;24;-;23,43;22,09;24;24,87;24,87;24;-
24.06.2019;03:00;24,6;24,6;24,6;16,83;-;24,71;-;24,01;21,83;24,6;24,6;24,6;24,6;-
24.06.2019;04:00;22,22;22,22;22,22;16,5;-;27,85;-;21,68;22,73;22,22;25,3;25,3;22,22;-
24.06.2019;05:00;25,97;25,97;25,97;20,66;-;26,03;-;25,97;26,05;25,97;27,8;27,8;25,97;-
24.06.2019;06:00;35,24;35,24;35,24;26,51;-;35,27;-;32,29;34,08;35,24;34,1;41,29;35,24;-
24.06.2019;07:00;47,95;47,95;47,95;30,73;-;48,18;-;35,13;37,06;54,5;44;50,05;47,95;-
24.06.2019;08:00;42,78;42,78;42,78;32,96;-;42,78;-;42,78;38,75;53,22;44,92;58,72;42,78;-
24.06.2019;09:00;36,24;36,24;36,24;36,24;-;36,24;-;36,24;36,3;53,22;39,76;58,98;36,24;-
24.06.2019;10:00;32,67;32,67;33,75;32,67;-;32,67;-;33,75;34,37;51,71;36;57,97;32,67;-
24.06.2019;11:00;32,74;33,47;33,47;32,74;-;32,74;-;33,47;33,94;52,2;34;58,18;32,74;-
24.06.2019;12:00;30,87;33,46;33,46;31,6;-;34,56;-;33,46;32,25;45,18;30,7;60,9;30,87;-
24.06.2019;13:00;29,9;33,03;33,03;30,9;-;34,13;-;33,03;31,67;45,08;30,33;59,91;30,05;-
24.06.2019;14:00;29,92;32,82;32,82;30,7;-;33,91;-;32,82;31,51;48,48;30;58,46;29,92;-
24.06.2019;15:00;31,41;32,22;32,22;31,58;-;33,28;-;32,22;31,76;50,48;30,49;59,3;31,47;-
24.06.2019;16:00;32,18;32,18;32,78;32,53;-;33,87;-;32,78;33,28;51,44;32,61;61,01;32,18;-
24.06.2019;17:00;35,95;35,34;35,34;35,95;-;35,95;-;35,34;36,48;50;37,99;59,98;35,95;-
24.06.2019;18:00;45,06;34,26;45,06;38,45;-;48,09;-;45,06;38,47;50,33;42,1;59,91;43,6;-
24.06.2019;19:00;56,78;33,83;56,78;39,45;-;57,4;-;55,42;39,04;54,36;46,83;63,95;54,36;-
24.06.2019;20:00;54,01;33,2;54,01;30,97;-;58,43;-;52,71;37,99;51,99;47;63,82;50,1;-
24.06.2019;21:00;40,92;32,33;40,92;25,49;-;44,47;-;39,94;36,14;52,12;42,47;60,99;40,92;-
24.06.2019;22:00;34,3;32,06;34,3;34,3;-;34,3;-;32,06;36,11;40,01;38;46;34,3;-
24.06.2019;23:00;29;28,82;28,82;29;-;29;-;28,82;30,87;29;32,72;34,72;29;-
25.06.2019;00:00;28,08;23,09;25,24;23,01;-;30,71;-;25,24;29,93;28,08;29,51;35,57;28,08;-
25.06.2019;01:00;25,6;24,78;24,78;25,6;-;25,6;-;24,78;28,39;25,6;27,9;27,9;25,6;-
25.06.2019;02:00;24,48;23,7;23,7;24,48;-;24,48;-;23,7;26,44;24,48;26,36;26,36;24,48;-
25.06.2019;03:00;23,65;23,65;23,65;15,63;-;25,69;-;23,09;26,05;23,65;25,7;25,7;23,65;-
25.06.2019;04:00;22,86;22,86;22,86;15,09;-;27;-;20,04;25,85;22,86;25,4;25,4;22,86;-
25.06.2019;05:00;27,29;27,29;27,29;23,94;-;29,09;-;27,29;27,91;27,29;28,47;28,47;27,29;-
25.06.2019;06:00;33,5;32,05;33,5;23,52;-;33,11;-;32,69;35,09;33,5;36,9;37,02;33,5;-
25.06.2019;07:00;43,91;35,44;43,91;38,31;-;43,91;-;42,86;38,43;43,91;49,37;53,23;43,91;-
25.06.2019;08:00;49,18;35,16;49,18;43,36;-;49,18;-;49,18;40,31;49,18;47;52,4;49,18;-
25.06.2019;09:00;40,96;35,43;40,96;40,96;-;40,96;-;39,98;40,11;46,14;42,44;55,48;40,96;-
25.06.2019;10:00;37,77;35,72;37,77;37,77;-;37,77;-;37,77;37,54;46,05;40,4;57,05;37,77;-
25.06.2019;11:00;36,45;35,59;36,45;36,45;-;36,45;-;36,45;36,99;44;39,9;58,22;36,45;-
25.06.2019;12:00;34,92;34,29;34,92;34,95;-;35,07;-;34,92;35,38;42,1;40,14;58,22;34,93;-
