Datum;Uhrzeit;Gesamt[MWh]
10.06.2019;13:00;11.971,5
10.06.2019;13:15;11.925,5
10.06.2019;13:30;11.861,25
10.06.2019;13:45;11.699,75
10.06.2019;14:00;11.508,25
10.06.2019;14:15;11.469,5
10.06.2019;14:30;11.440,25
10.06.2019;14:45;11.563,5
10.06.2019;15:00;11.712,5
10.06.2019;15:15;11.568
10.06.2019;15:30;11.392,25
10.06.2019;15:45;11.389,75
10.06.2019;16:00;11.576,25
10.06.2019;16:15;11.652
10.06.2019;16:30;11.588
10.06.2019;16:45;11.636,75
10.06.2019;17:00;11.770,75
10.06.2019;17:15;11.813,5
10.06.2019;17:30;11.969
10.06.2019;17:45;12.067,75
10.06.2019;18:00;12.130
10.06.2019;18:15;12.163,5
10.06.2019;18:30;12.201,75
10.06.2019;18:45;12.191,5
10.06.2019;19:00;12.185,5
10.06.2019;19:15;12.020
10.06.2019;19:30;11.987,25
10.06.2019;19:45;11.840,25
10.06.2019;20:00;11.789
10.06.2019;20:15;11.707,25
10.06.2019;20:30;11.616,25
10.06.2019;20:45;11.589,75
10.06.2019;21:00;11.547
10.06.2019;21:15;11.546,5
10.06.2019;21:30;11.616,75
10.06.2019;21:45;11.714,75
10.06.2019;22:00;11.717,25
10.06.2019;22:15;11.551,25
10.06.2019;22:30;11.353
10.06.2019;22:45;11.244
10.06.2019;23:00;10.974,5
10.06.2019;23:15;10.639,75
10.06.2019;23:30;10.382
10.06.2019;23:45;10.380,5
11.06.2019;00:00;10.230,5
11.06.2019;00:15;10.091
11.06.2019;00:30;10.020,5
11.06.2019;00:45;9.939
11.06.2019;01:00;9.871,75
11.06.2019;01:15;9.788,75
11.06.2019;01:30;9.721,5
11.06.2019;01:45;9.646,75
11.06.2019;02:00;9.552,75
11.06.2019;02:15;9.559
11.06.2019;02:30;9.529
11.06.2019;02:45;9.547
11.06.2019;03:00;9.570,5
11.06.2019;03:15;9.509,25
11.06.2019;03:30;9.508,75
11.06.2019;03:45;9.601,5
